"type","sqft","sqm","price","payment_method","governorate","city","area","down_payment","bedroomscc","bathroomscc","posted_date","month","day"
"Apartment","1808","168",9000000,"Cash","Cairo","New Cairo City","","","2","2","2025-09-01","9","1"
"Duplex","2756","256",16000000,"Cash","Cairo","New Cairo City","","","2","2","2025-08-17","8","17"
"Townhouse","2906","270",24090000,"Cash","Giza","Sheikh Zayed City","New Zayed City","","3","3","2025-09-02","9","2"
"Villa","4047","376",42000000,"Cash","Cairo","New Cairo City","","","5","5","2025-08-31","8","31"
"Twin House","3767","350",32000000,"Cash","Alexandria","Alexandria Compounds","Sawary","","4","4","2025-05-06","5","6"
"Villa","3229","300",35000000,"Cash","Red Sea","Hurghada","","","5","5","2025-08-08","8","8"
"Chalet","1345","125",9000000,"Cash","Red Sea","Hurghada","Al Gouna","","2","2","2025-08-31","8","31"
"Townhouse","1884","175",10000000,"Cash","Giza","6 October City","6 October Compounds","","3","3","2025-09-01","9","1"
"Townhouse","2691","250","","","Cairo","New Cairo City","","","4","4","2025-08-04","8","4"
"Apartment","1679","156",5200000,"Cash","Cairo","Mostakbal City - Future City","Mostakbal City Compounds","","2","2","2025-09-01","9","1"
"Apartment","1722","160",9900000,"Cash","Cairo","New Cairo City","The 5th Settlement","","3","3","2025-08-20","8","20"
"Apartment","2153","200",13500000,"Cash","Cairo","New Cairo City","","","3","3","2025-09-01","9","1"
"Apartment","1851","172",17300000,"Cash","Cairo","New Cairo City","","","4","4","2025-08-31","8","31"
"Apartment","1507","140",4250000,"Cash","Cairo","New Cairo City","Janna","","3","3","2025-08-12","8","12"
"Villa","1668","155",33000000,"Cash","Red Sea","Hurghada","Al Gouna","","3","3","2025-09-02","9","2"
"Townhouse","1798","167","","","North Coast","Sidi Abdel Rahman","Marassi","","3","3","2025-08-30","8","30"
"Apartment","2099","195",5400000,"Cash","Cairo","New Cairo City","El Lotus","","2","2","2025-07-07","7","7"
"Duplex","2239","208",11500000,"Cash","Giza","6 October City","South Dahshur Link","","3","3","2025-08-29","8","29"
"Chalet","1776","165",5700000,"Cash","North Coast","Ras Al Hekma","Al Masyaf","","3","3","2025-08-20","8","20"
"Apartment","721","67",3050000,"Cash","Cairo","Noor City","",1100000,"1","1","2025-08-06","8","6"
"Townhouse","2583","240",23400000,"Cash","Cairo","New Cairo City","","","5","5","2025-08-07","8","7"
"Villa","4521","420",25600000,"Cash","Cairo","New Cairo City","","","5","5","2025-08-31","8","31"
"Apartment","1615","150",10500000,"Cash","Cairo","New Cairo City","","","2","2","2025-08-25","8","25"
"Apartment","764","71",5904000,"Cash","Giza","Sheikh Zayed City","Sheikh Zayed Compounds","","1","1","2025-08-24","8","24"
"Apartment","2131","198",23825000,"Cash","North Coast","Al Alamein","New Alamein City","","3","3","2025-09-01","9","1"
"Penthouse","1528","142",8000000,"Installments","North Coast","Ras Al Hekma","Gaia","","2","2","","",""
"Duplex","2605","242",16000000,"Installments","Cairo","New Cairo City","The 1st Settlement",1600000,"4","4","2025-09-02","9","2"
"Apartment","1615","150",4000000,"Cash","Giza","Sheikh Zayed City","New Zayed City","","2","2","2025-09-01","9","1"
